code,description,machine_category,machine_brand,machine_model,price,stock,min_stock,supplier_key,supplier_id
STIHL-MS170-CAD,Cadena 3/8 para MS170,Motosierra,Stihl,MS 170,180000,15,3,PROV001,
STIHL-MS170-BAR,Barra guia 35cm para MS170,Motosierra,Stihl,MS 170,240000,8,2,PROV001,
STIHL-MS170-FLT,Filtro de aire MS170,Motosierra,Stihl,MS 170,55000,20,5,PROV001,
STIHL-MS170-BUJ,Bujia NGK CMR6H para MS170,Motosierra,Stihl,MS 170,28000,30,8,PROV012,
STIHL-MS170-CRB,Carburador completo MS170,Motosierra,Stihl,MS 170,320000,5,1,PROV001,
STIHL-MS180-CAD,Cadena 3/8 para MS180,Motosierra,Stihl,MS 180,185000,12,3,PROV001,
STIHL-MS180-BAR,Barra guia 35cm para MS180,Motosierra,Stihl,MS 180,245000,7,2,PROV001,
STIHL-MS180-FLT,Filtro de aire MS180,Motosierra,Stihl,MS 180,58000,18,5,PROV001,
STIHL-MS180-CRB,Carburador completo MS180,Motosierra,Stihl,MS 180,330000,4,1,PROV001,
STIHL-MS230-CAD,Cadena 3/8 para MS230,Motosierra,Stihl,MS 230,195000,10,3,PROV001,
STIHL-MS230-BAR,Barra guia 40cm para MS230,Motosierra,Stihl,MS 230,260000,6,2,PROV001,
STIHL-MS230-FLT,Filtro de aire MS230,Motosierra,Stihl,MS 230,62000,15,4,PROV001,
STIHL-MS230-BUJ,Bujia NGK para MS230,Motosierra,Stihl,MS 230,30000,25,6,PROV012,
STIHL-MS250-CAD,Cadena 3/8 para MS250,Motosierra,Stihl,MS 250,200000,10,3,PROV001,
STIHL-MS250-BAR,Barra guia 45cm para MS250,Motosierra,Stihl,MS 250,275000,6,2,PROV001,
STIHL-MS250-CRB,Carburador completo MS250,Motosierra,Stihl,MS 250,345000,4,1,PROV001,
STIHL-MS461-CAD,Cadena 3/8 para MS461,Motosierra,Stihl,MS 461,220000,8,2,PROV001,
STIHL-MS461-BAR,Barra guia 50cm para MS461,Motosierra,Stihl,MS 461,310000,5,2,PROV001,
STIHL-BR600-FLT,Filtro de aire BR600,Sopladora,Stihl,BR 600,80000,15,4,PROV001,
STIHL-BR600-BUJ,Bujia NGK para BR600,Sopladora,Stihl,BR 600,28000,25,6,PROV012,
STIHL-BR600-CRB,Carburador BR600,Sopladora,Stihl,BR 600,420000,3,1,PROV001,
STIHL-BR600-IMP,Impulsor sopladora BR600,Sopladora,Stihl,BR 600,250000,5,2,PROV001,
STIHL-BR600-COR,Correa mochila BR600,Sopladora,Stihl,BR 600,125000,8,2,PROV001,
STIHL-BR700-FLT,Filtro de aire BR700,Sopladora,Stihl,BR 700,85000,12,4,PROV001,
STIHL-BR700-BUJ,Bujia NGK para BR700,Sopladora,Stihl,BR 700,30000,25,6,PROV012,
STIHL-BR700-CRB,Carburador BR700,Sopladora,Stihl,BR 700,450000,3,1,PROV001,
STIHL-BR700-IMP,Impulsor sopladora BR700,Sopladora,Stihl,BR 700,265000,5,2,PROV001,
STIHL-FS240-CAB,Cabezal de corte FS240,Desmalezadora,Stihl,FS 240,175000,8,2,PROV001,
STIHL-FS240-HIL,Hilo cuadrado 3mm rollo 100m,Desmalezadora,Stihl,FS 240,110000,20,5,PROV016,
STIHL-FS240-ENG,Engranaje angular FS240,Desmalezadora,Stihl,FS 240,215000,4,1,PROV001,
STIHL-FS240-FLT,Filtro de aire FS240,Desmalezadora,Stihl,FS 240,55000,15,4,PROV001,
STIHL-FS94-FLT,Filtro de aire FS94 R,Desmalezadora,Stihl,FS 94 R,48000,15,4,PROV001,
STIHL-FS94-CAB,Cabezal corte FS94 R,Desmalezadora,Stihl,FS 94 R,155000,8,2,PROV001,
STIHL-SH86-FLT,Filtro de aire SH86,Aspiradora,Stihl,SH 86 C-E,52000,12,4,PROV001,
STIHL-SH86-SAC,Saco de aspiracion 45L SH86,Aspiradora,Stihl,SH 86 C-E,108000,6,2,PROV001,
STIHL-SH86-BUJ,Bujia NGK para SH86,Aspiradora,Stihl,SH 86 C-E,28000,20,5,PROV012,
HUS-550-FLT,Filtro de aire Husqvarna 550iBT,Sopladora,Husqvarna,550iBT,75000,12,3,PROV017,
HUS-550-BUJ,Bujia NGK RCJ6Y para 550iBT,Sopladora,Husqvarna,550iBT,27000,25,6,PROV012,
HUS-550-CRB,Carburador completo 550iBT,Sopladora,Husqvarna,550iBT,368000,3,1,PROV017,
HUS-550-IMP,Impulsor sopladora 550iBT,Sopladora,Husqvarna,550iBT,240000,4,2,PROV017,
HUS-545RX-CAB,Cabezal T45X Husqvarna 545RX,Desmalezadora,Husqvarna,545 RX,200000,6,2,PROV017,
HUS-545RX-GUA,Guarda protectora 545RX,Desmalezadora,Husqvarna,545 RX,70000,8,2,PROV017,
HUS-545RX-FLT,Filtro de aire 545RX,Desmalezadora,Husqvarna,545 RX,58000,12,3,PROV017,
HUS-572XP-BAR,Barra guia X-Force 55cm 572XP,Motosierra,Husqvarna,572 XP,348000,4,2,PROV017,
HUS-572XP-CAD,Cadena X-Cut 3/8 72E 572XP,Motosierra,Husqvarna,572 XP,115000,10,3,PROV017,
HUS-572XP-FLT,Filtro de aire 572XP,Motosierra,Husqvarna,572 XP,65000,10,3,PROV017,
HON-GX35-FLT,Filtro de aire Honda GX35,Motor,Honda,GX35,29000,20,5,PROV008,
HON-GX35-BUJ,Bujia NGK CMR5H Honda GX35,Motor,Honda,GX35,21000,30,8,PROV012,
HON-GX35-CRB,Carburador Honda GX35,Motor,Honda,GX35,224000,5,1,PROV008,
HON-GX120-PIR,Piston completo Honda GX120,Motor,Honda,GX120,185000,4,1,PROV008,
HON-GX120-CRB,Carburador Honda GX120,Motor,Honda,GX120,251000,5,1,PROV008,
HON-GX160-FLT,Filtro de aire Honda GX160,Motor,Honda,GX160,34000,20,5,PROV008,
HON-GX160-BUJ,Bujia NGK BPR6ES Honda GX160,Motor,Honda,GX160,21000,30,8,PROV012,
HON-GX200-CRB,Carburador Honda GX200,Motor,Honda,GX200,262000,4,1,PROV008,
HON-WH20-SEL,Sello mecanico bomba Honda WH20,Bomba,Honda,WH20,85000,8,2,PROV008,
KAR-KHB6-BOQ,Boquilla turbojato Karcher KHB6,Hidrolavadora,Karcher,KHB 6 Plus,123000,8,2,PROV010,
KAR-KHB6-MAN,Manguera alta presion 15m KHB6,Hidrolavadora,Karcher,KHB 6 Plus,212000,5,2,PROV010,
KAR-KHB6-FLT,Filtro de entrada agua KHB6,Hidrolavadora,Karcher,KHB 6 Plus,46000,12,3,PROV010,
KAR-K5-BOQ,Boquilla rotativa Karcher K5,Hidrolavadora,Karcher,K5,98000,10,3,PROV010,
KAR-K5-MAN,Manguera HP 10m Karcher K5,Hidrolavadora,Karcher,K5,175000,6,2,PROV010,
